БОДИ,женский,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
,унисекс,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
,без указания пола,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,,"<6208110000> Комбинации и нижние юбки женские или для девочек, из химических нитей"
,,"<6208190001> Комбинации и нижние юбки женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208190009> Комбинации и нижние юбки женские или для девочек, из прочих текстильных материалов"
БОКСЕРЫ,мужской,"<6107110000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107120000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107190000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207110000> Кальсоны и трусы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207190000> Кальсоны и трусы мужские или для мальчиков, из прочих текстильных материалов"
БОКСЕРЫ КЛАССИЧЕСКИЕ,мужской,"<6107110000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107120000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107190000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207110000> Кальсоны и трусы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207190000> Кальсоны и трусы мужские или для мальчиков, из прочих текстильных материалов"
БОКСЕРЫ ОБЛЕГАЮЩИЕ,мужской,"<6107110000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107120000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107190000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207110000> Кальсоны и трусы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207190000> Кальсоны и трусы мужские или для мальчиков, из прочих текстильных материалов"
БОКСЕРЫ СВОБОДНЫЕ,мужской,"<6107110000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107120000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107190000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207110000> Кальсоны и трусы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207190000> Кальсоны и трусы мужские или для мальчиков, из прочих текстильных материалов"
БРЮКИ ДОМАШНИЕ,мужской,"<6107110000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107120000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из химических нитей"
,,"<6107190000> Кальсоны и трусы трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207110000> Кальсоны и трусы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207190000> Кальсоны и трусы мужские или для мальчиков, из прочих текстильных материалов"
,женский,"<6108210000> Трусы и панталоны трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108220000> Трусы и панталоны трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108290000> Трусы и панталоны трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
